week_start,eligible_order_count,late_order_count,late_delivery_rate
2015-01-05,391,216,0.5524296675191815
2015-01-12,380,216,0.5684210526315789
2015-01-19,378,213,0.5634920634920635
2015-01-26,387,223,0.5762273901808785
2015-02-02,380,229,0.6026315789473684
2015-02-09,376,223,0.5930851063829787
2015-02-16,370,202,0.5459459459459459
2015-02-23,385,222,0.5766233766233766
2015-03-02,391,226,0.578005115089514
2015-03-09,390,229,0.5871794871794872
2015-03-16,369,202,0.5474254742547425
2015-03-23,381,229,0.6010498687664042
2015-03-30,379,199,0.525065963060686
2015-04-06,386,222,0.5751295336787565
2015-04-13,382,218,0.5706806282722513
2015-04-20,386,220,0.5699481865284974
2015-04-27,385,222,0.5766233766233766
2015-05-04,384,221,0.5755208333333334
2015-05-11,368,199,0.5407608695652174
2015-05-18,383,232,0.6057441253263708
2015-05-25,384,220,0.5729166666666666
2015-06-01,381,217,0.5695538057742782
2015-06-08,384,220,0.5729166666666666
2015-06-15,389,216,0.5552699228791774
2015-06-22,380,220,0.5789473684210527
2015-06-29,393,224,0.5699745547073791
2015-07-06,393,232,0.5903307888040712
2015-07-13,393,222,0.5648854961832062
2015-07-20,378,207,0.5476190476190477
2015-07-27,377,206,0.5464190981432361
2015-08-03,385,218,0.5662337662337662
2015-08-10,381,221,0.5800524934383202
2015-08-17,378,220,0.582010582010582
2015-08-24,370,215,0.581081081081081
2015-08-31,386,230,0.5958549222797928
2015-09-07,378,212,0.5608465608465608
2015-09-14,379,224,0.5910290237467019
2015-09-21,385,229,0.5948051948051948
2015-09-28,380,212,0.5578947368421052
2015-10-05,375,204,0.544
2015-10-12,387,244,0.6304909560723514
2015-10-19,375,221,0.5893333333333334
2015-10-26,390,207,0.5307692307692308
2015-11-02,386,228,0.5906735751295337
2015-11-09,382,211,0.5523560209424084
2015-11-16,395,226,0.5721518987341773
2015-11-23,388,219,0.5644329896907216
2015-11-30,385,220,0.5714285714285714
2015-12-07,372,218,0.5860215053763441
2015-12-14,397,220,0.5541561712846348
2015-12-21,401,227,0.5660847880299252
2015-12-28,392,232,0.5918367346938775
2016-01-04,377,231,0.6127320954907162
2016-01-11,375,218,0.5813333333333334
2016-01-18,397,235,0.5919395465994962
2016-01-25,391,215,0.5498721227621484
2016-02-01,385,222,0.5766233766233766
2016-02-08,369,209,0.5663956639566395
2016-02-15,392,222,0.5663265306122449
2016-02-22,372,208,0.5591397849462365
2016-02-29,385,216,0.561038961038961
2016-03-07,381,232,0.6089238845144357
2016-03-14,380,215,0.5657894736842105
2016-03-21,389,219,0.5629820051413882
2016-03-28,387,233,0.6020671834625323
2016-04-04,380,205,0.5394736842105263
2016-04-11,386,216,0.5595854922279793
2016-04-18,392,223,0.5688775510204082
2016-04-25,361,224,0.6204986149584487
2016-05-02,367,195,0.5313351498637602
2016-05-09,393,217,0.5521628498727735
2016-05-16,371,210,0.5660377358490566
2016-05-23,377,232,0.6153846153846154
2016-05-30,378,248,0.656084656084656
2016-06-06,385,232,0.6025974025974026
2016-06-13,368,219,0.595108695652174
2016-06-20,376,214,0.5691489361702128
2016-06-27,382,215,0.56282722513089
2016-07-04,367,207,0.5640326975476839
2016-07-11,379,208,0.5488126649076517
2016-07-18,368,196,0.532608695652174
2016-07-25,388,229,0.5902061855670103
2016-08-01,375,236,0.6293333333333333
2016-08-08,380,206,0.5421052631578948
2016-08-15,393,232,0.5903307888040712
2016-08-22,381,219,0.5748031496062992
2016-08-29,380,206,0.5421052631578948
2016-09-05,390,235,0.6025641025641025
2016-09-12,402,223,0.554726368159204
