risk_rank,Order Id,risk_score
1,73312,0.9993170077650554
2,73313,0.9993169974345976
3,73457,0.9993169974345976
4,73226,0.9993169767731703
5,73245,0.9993169664422442
6,75946,0.9993169561111187
7,73232,0.9993169403895582
8,73431,0.9993169354484424
9,75950,0.9993169354484424
10,73360,0.9993169300580823
11,73989,0.999316401146462
12,74011,0.9993162752618113
13,76350,0.9993160193750085
14,76440,0.9993160193750085
15,76476,0.9993160193750085
16,76801,0.9993159833903067
17,76805,0.9993158943197973
18,76218,0.999315733244056
19,76506,0.999315733244056
20,76311,0.9993156796937598
21,74165,0.9993148975615247
22,75645,0.9993146010457442
23,73026,0.9993142967356995
24,73063,0.9993142584056951
25,73064,0.9993142205246262
26,75529,0.9993139160459218
27,73071,0.9993138397922218
28,72946,0.9993138018880442
29,72948,0.9993137256216655
30,72986,0.9993136493468158
31,76096,0.999312392404384
32,75953,0.9993123666296039
33,76063,0.9993123508024805
34,74297,0.9993123015100103
35,74290,0.9993119330558785
36,76172,0.9993119235536732
37,74329,0.9993119122413552
38,73388,0.9993118869010692
39,76051,0.9993118869010692
40,74317,0.9993118715154452
41,73408,0.9993118683477892
42,75947,0.999311860654813
43,73231,0.9993118556769767
44,73286,0.9993118502465139
45,73990,0.9993116594812299
46,76529,0.9993114353768731
47,76351,0.9993113090313966
48,76352,0.999311291368204
49,76479,0.9993112732518913
50,76264,0.9993112551349295
51,76403,0.9993110125436548
52,76510,0.9993109851368528
53,75013,0.999310924543263
54,76530,0.9993109223733194
55,76441,0.9993108861206458
56,76477,0.9993108861206458
57,76338,0.9993107782575196
58,76806,0.9993107782575196
59,71634,0.9993107754418846
60,76492,0.9993105620273423
61,74182,0.9993102425500708
62,71695,0.999310179169354
63,73703,0.9993101437849445
64,74185,0.9993097386448229
65,75574,0.999309725713648
66,74168,0.9993097118627309
67,73939,0.9993094584201886
68,76987,0.9993093603255158
69,73887,0.9993092622176128
70,75611,0.9993092250651023
71,72945,0.9993091507947496
72,75561,0.9993090333397527
73,73066,0.9993089951702455
74,73362,0.9993089187085694
75,72923,0.9993089183700015
76,74272,0.9993089073468843
77,72388,0.9993088769159988
78,73458,0.9993088764421424
79,76901,0.9993088700988755
80,75985,0.9993088241736251
81,75951,0.9993088137194738
82,75587,0.9993086497295096
83,72600,0.9993086168981485
84,72912,0.9993086115388263
85,76903,0.9993085755231961
86,73713,0.9993083795238142
87,73714,0.9993082321475388
88,74661,0.9993078467273477
89,76678,0.9993078016445152
90,73537,0.9993077656829175
91,75472,0.9993075494388353
92,72131,0.9993075116425479
93,72203,0.9993075116425479
94,73361,0.9993072683933621
95,76187,0.999307242426643
96,76188,0.9993072319485407
97,72660,0.9993071932527312
98,73412,0.9993071476625545
99,73324,0.9993071371830633
100,73432,0.9993071371830633
101,64277,0.9993069493496443
102,72276,0.9993068441776733
103,75350,0.9993068368842394
104,74595,0.9993068099898088
105,74111,0.9993067570892437
106,75351,0.9993067183575798
107,74579,0.9993065792910603
108,75260,0.9993065770116079
109,75855,0.9993063252523543
110,74001,0.9993063170120065
111,72189,0.9993063097426388
112,74002,0.999306302870512
113,75081,0.9993061643028534
114,76478,0.9993061591580227
115,76335,0.9993061409068023
116,75427,0.9993061240529599
117,75559,0.9993061103441584
118,75082,0.9993060894699541
119,69366,0.9993060841938021
120,69367,0.9993060791741659
121,75560,0.9993060720132946
122,76596,0.999305923222755
123,76597,0.9993059049651589
124,76742,0.9993058867072567
125,75339,0.9993058858233451
126,76599,0.9993058689052658
127,76600,0.9993058506462413
128,75376,0.9993057671341727
129,72925,0.9993057639192524
130,72617,0.9993056479690515
131,73169,0.9993055771895876
132,71635,0.9993055640438359
133,75087,0.9993055640438359
134,76948,0.9993054295477061
135,68922,0.9993053920582494
136,68905,0.9993053778979114
137,73170,0.9993052775564404
138,69037,0.9993052431316066
139,69112,0.9993052074941795
140,69114,0.9993051791656082
141,74167,0.9993050216409232
142,73023,0.9993047748039235
143,73849,0.9993047395026645
144,72366,0.9993047331017216
145,64739,0.999304665853815
146,72361,0.99930456952591
147,76988,0.9993045419602424
148,73884,0.9993045097109344
149,75702,0.9993044661341655
150,75703,0.9993044272550247
151,75704,0.999304388831251
152,75772,0.9993043787959923
153,63807,0.9993043658717218
154,64386,0.9993043237404355
155,72921,0.9993043115194011
156,75331,0.9993043061556407
157,69215,0.9993042898857732
158,75616,0.9993042730892386
159,69216,0.9993042358980142
160,69234,0.9993042358980142
161,72202,0.9993041674235731
162,72424,0.9993041540274473
163,75336,0.9993040579263288
164,75548,0.9993040218670801
165,75549,0.9993040026442692
166,73802,0.9993038505764683
167,73928,0.9993038505764683
168,74271,0.9993037624198907
169,75335,0.999303726726019
170,73459,0.9993037157173859
171,74206,0.9993037106806719
172,73390,0.9993036919070938
173,73283,0.9993036896175889
174,73409,0.9993036896175889
175,75984,0.9993036790858306
176,76003,0.9993036735908875
177,73305,0.9993036685538691
178,76940,0.9993036532386304
179,75811,0.9993036286370109
180,76941,0.9993035048559408
181,75319,0.9993034372889033
182,65794,0.9993034251190344
183,72409,0.999303292524908
184,74025,0.999303123881588
185,71684,0.9993030380822681
186,72485,0.9993029543199059
187,76997,0.9993029286500893
188,75906,0.9993028776682276
189,76583,0.9993028259413138
190,76494,0.999302734700315
191,76800,0.999302734700315
192,76855,0.9993027310517919
193,73661,0.9993026617906245
194,76570,0.9993026434472961
195,72638,0.9993026287923261
196,73131,0.9993025773301704
197,74662,0.9993025728411805
198,73629,0.9993025521825183
199,76983,0.9993025329384153
200,65463,0.9993025303387011
201,76593,0.999302497601225
202,76252,0.9993024705383773
203,76595,0.9993024613644349
204,65382,0.9993024491083713
205,75457,0.9993023395926074
206,72659,0.999302270076883
207,63241,0.9993021797441373
208,62281,0.9993019186767692
209,74594,0.9993018767467586
210,76186,0.999301842663625
211,76097,0.9993018164936672
212,64279,0.9993018071620791
213,73363,0.9993018059335536
214,76170,0.9993018059335536
215,76171,0.999301800423883
216,73383,0.9993017953733242
217,76082,0.9993017953733242
218,76173,0.9993017898635265
219,74274,0.9993017894044112
220,74275,0.9993017838946101
221,76138,0.9993017793030542
222,76174,0.9993017793030542
223,73404,0.9993017737931735
224,74294,0.9993017737931735
225,74330,0.9993017737931735
226,73405,0.9993017632324146
227,73244,0.9993017581815871
228,74332,0.9993017581815871
229,75979,0.9993017581815871
230,73389,0.9993017476206358
231,74334,0.9993017476206358
232,75980,0.9993017476206358
233,75460,0.9993017415369839
234,73282,0.9993017393554017
235,75981,0.9993017393554017
236,76035,0.9993017393554017
237,74318,0.9993017375186747
238,75964,0.9993017370594811
239,74803,0.9993017347762739
240,73284,0.9993017315492676
241,75965,0.9993017315492676
242,76037,0.9993017315492676
243,75948,0.9993017264982108
244,76092,0.9993017264982108
245,73233,0.999301715936737
246,68475,0.9993017061447697
247,68752,0.9993016937904937
248,67686,0.9993016464456316
249,74074,0.9993016182104806
250,65086,0.9993016045622107
251,74183,0.9993015911135369
252,72699,0.9993015520934502
253,75462,0.9993015018037642
254,73830,0.9993014513813048
255,65131,0.9993014075987842
256,75352,0.9993013127551419
257,72206,0.9993012750779122
258,73885,0.9993012533645443
259,76896,0.9993012533645443
260,72420,0.9993012469315288
261,75313,0.9993012469315288
262,65619,0.9993010915043736
263,76898,0.9993010548323086
264,66542,0.9993009957170789
265,75558,0.9993009786262945
266,75355,0.9993009533632309
267,69363,0.9993009260794101
268,69365,0.9993009182641903
269,69368,0.9993009026334883
270,72884,0.999300900936043
271,69369,0.99930089757644
272,76439,0.9993008709630236
273,76637,0.9993008709630236
274,72423,0.9993008590014563
275,75446,0.9993008333717047
276,75464,0.9993008333717047
277,71671,0.9993008185321378
278,76404,0.9993007794663507
279,76711,0.9993007426804278
280,75300,0.9993007363520107
281,73624,0.9993007247464242
282,76442,0.9993007247464242
283,76604,0.9993007247464242
284,73625,0.9993007063523538
285,76804,0.999300687957624
286,75528,0.9993006682724441
287,72616,0.9993005937865844
288,75691,0.9993005905477237
289,68925,0.999300588342113
290,73522,0.9993005784995296
291,68909,0.9993005455665586
292,72926,0.9993005321331486
293,73488,0.9993005145641827
294,73525,0.9993005053645331
295,68912,0.9993004880684347
296,75550,0.9993004741741613
297,75431,0.9993004737340793
298,76417,0.9993004685640242
299,76453,0.9993004685640242
300,76562,0.9993004501632197
301,72947,0.999300435071682
302,76527,0.9993004322218948
303,76528,0.9993004138199592
304,76636,0.9993004138199592
305,73081,0.9993003796604699
306,72141,0.9993003566563358
307,65566,0.9993003155791643
308,74170,0.999300204004441
309,69139,0.999300201651808
310,72338,0.9993001967503892
311,72196,0.999300154646911
312,68926,0.9993001303184349
313,69088,0.9993001303184349
314,72447,0.9993000829562633
